Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
58,Luke Berry,eng�ENG,"MF,DF",Luton Town,31-294,1992,15,2,315,3.5,2,1,3,2,0,0,1,0,0.9,0.9,0.3,1.2,1,8,6,0.57,0.29,0.86,0.57,0.86,0.25,0.08,0.33,0.25,0.33,Matches
59,Beto,gw�GNB,FW,Everton,26-091,1998,28,9,939,10.4,3,0,3,3,0,1,2,0,6.8,6,0.9,6.9,14,14,58,0.29,0,0.29,0.29,0.29,0.65,0.09,0.74,0.58,0.66,Matches
60,Jordan Beyer,de�GER,DF,Burnley,23-348,2000,15,15,"1,234",13.7,0,1,1,0,0,0,6,0,0.5,0.5,0.3,0.8,9,25,1,0,0.07,0.07,0,0.07,0.04,0.02,0.06,0.04,0.06,Matches
61,Philip Billing,dk�DEN,MF,Bournemouth,27-325,1996,27,13,"1,356",15.1,2,2,4,2,0,0,3,1,2.4,2.4,3.2,5.6,21,52,61,0.13,0.13,0.27,0.13,0.27,0.16,0.21,0.37,0.16,0.37,Matches
62,Yves Bissouma,ml�MLI,MF,Tottenham,27-245,1996,25,23,"1,842",20.5,0,0,0,0,0,0,9,2,1.4,1.4,0.4,1.8,41,146,11,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
63,Benicio Boaitey,eng�ENG,"DF,FW",Brighton,20-113,2004,4,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
64,Oscar Bobb,no�NOR,"FW,MF",Manchester City,20-294,2003,13,2,293,3.3,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,12,24,37,0.31,0.31,0.61,0.31,0.61,0.43,0.38,0.8,0.43,0.8,Matches
65,Jayden Bogle,eng�ENG,DF,Sheffield Utd,23-279,2000,31,29,"2,518",28,3,0,3,3,0,0,9,0,2.1,2.1,0.8,2.9,31,48,81,0.11,0,0.11,0.11,0.11,0.07,0.03,0.1,0.07,0.1,Matches
66,Willy Boly,ci�CIV,DF,Nott'ham Forest,33-088,1991,17,15,"1,168",13,1,0,1,1,0,0,3,1,1.4,1.4,1,2.4,4,23,2,0.08,0,0.08,0.08,0.08,0.11,0.07,0.18,0.11,0.18,Matches
67,Sven Botman,nl�NED,DF,Newcastle Utd,24-110,2000,17,15,"1,377",15.3,2,2,4,2,0,0,2,0,0.6,0.6,1,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,Matches
68,Jarrod Bowen,eng�ENG,FW,West Ham,27-133,1996,32,32,"2,839",31.5,16,6,22,16,0,0,2,0,9.9,9.9,4.9,14.8,83,49,176,0.51,0.19,0.7,0.51,0.7,0.31,0.16,0.47,0.31,0.47,Matches
69,Conor Bradley,nir�NIR,DF,Liverpool,20-297,2003,10,10,733,8.1,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,34,29,63,0.12,0.37,0.49,0.12,0.49,0.11,0.18,0.29,0.11,0.29,Matches
70,Jarrad Branthwaite,eng�ENG,DF,Everton,21-309,2002,32,32,"2,846",31.6,3,0,3,3,0,0,8,0,1.7,1.7,0.9,2.6,2,67,6,0.09,0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,Matches
71,Ben Brereton,cl�CHI,"FW,MF",Sheffield Utd,25-013,1999,11,11,856,9.5,5,1,6,5,0,0,3,0,4.3,4.3,1.1,5.4,19,27,60,0.53,0.11,0.63,0.53,0.63,0.45,0.11,0.57,0.45,0.57,Matches
72,Rhian Brewster,eng�ENG,"FW,MF",Sheffield Utd,24-030,2000,11,3,307,3.4,0,0,0,0,0,0,0,1,0.3,0.3,0.1,0.4,1,2,17,0,0,0,0,0,0.08,0.03,0.11,0.08,0.11,Matches
73,Armando Broja,al�ALB,FW,Chelsea,22-234,2001,13,6,454,5,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.2,0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,Matches
74,Armando Broja,al�ALB,FW,Fulham,22-234,2001,7,0,64,0.7,0,1,1,0,0,0,0,0,0,0,0.4,0.4,2,2,7,0,1.41,1.41,0,1.41,0,0.56,0.56,0,0.56,Matches
75,Andre Brooks,eng�ENG,"MF,DF",Sheffield Utd,20-255,2003,17,10,790,8.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,9,14,21,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,David Brooks,wls�WAL,"FW,MF",Bournemouth,26-298,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.7,0.33,1.03,0.7,1.03,Matches
77,Jacob Brown,sct�SCO,"MF,FW",Luton Town,26-021,1998,19,12,"1,019",11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3,Matches
78,Josh Brownhill,eng�ENG,MF,Burnley,28-134,1995,31,22,"2,152",23.9,4,2,6,4,0,0,3,1,1.9,1.9,1.9,3.9,17,85,32,0.17,0.08,0.25,0.17,0.25,0.08,0.08,0.16,0.08,0.16,Matches
79,Jacob Bruun Larsen,dk�DEN,"MF,FW",Burnley,25-225,1998,29,13,"1,063",11.8,5,0,5,4,1,1,0,0,4.4,3.6,1,4.6,56,33,126,0.42,0,0.42,0.34,0.34,0.37,0.08,0.46,0.31,0.39,Matches
80,Hugo Bueno,es�ESP,"DF,MF",Wolves,21-226,2002,20,6,658,7.3,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,21,7,39,0,0,0,0,0,0.04,0.08,0.12,0.04,0.12,Matches
81,Santiago Bueno,uy�URU,DF,Wolves,25-174,1998,10,8,719,8,0,0,0,0,0,0,1,0,0,0,0,0,3,10,1,0,0,0,0,0,0,0,0,0,0,Matches
82,Facundo Buonanotte,ar�ARG,"FW,MF",Brighton,19-130,2004,24,14,"1,169",13,3,1,4,3,0,0,7,0,2.4,2.4,1.7,4.1,19,36,62,0.23,0.08,0.31,0.23,0.31,0.18,0.13,0.32,0.18,0.32,Matches
83,Reece Burke,eng�ENG,DF,Luton Town,27-242,1996,20,18,"1,484",16.5,0,4,4,0,0,0,4,0,1.3,1.3,1.3,2.6,9,54,13,0,0.24,0.24,0,0.24,0.08,0.08,0.16,0.08,0.16,Matches
84,Dan Burn,eng�ENG,DF,Newcastle Utd,31-358,1992,29,28,"2,366",26.3,2,2,4,2,0,0,3,0,2.7,2.7,1.1,3.9,13,68,25,0.08,0.08,0.15,0.08,0.15,0.1,0.04,0.15,0.1,0.15,Matches
85,Mason Burstow,eng�ENG,FW,Chelsea,20-271,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
86,Mois�s Caicedo,ec�ECU,MF,Chelsea,22-181,2001,30,28,"2,443",27.1,0,1,1,0,0,0,10,0,0.4,0.4,1.5,1.9,19,141,22,0,0.04,0.04,0,0.04,0.01,0.06,0.07,0.01,0.07,Matches
87,Tom Cairney,sct�SCO,MF,Fulham,33-102,1991,31,14,"1,411",15.7,1,4,5,1,0,0,2,0,1.1,1.1,2.1,3.2,34,140,71,0.06,0.26,0.32,0.06,0.32,0.07,0.14,0.2,0.07,0.2,Matches
88,Dominic Calvert-Lewin,eng�ENG,FW,Everton,27-046,1997,29,23,"1,940",21.6,6,1,7,5,1,1,1,0,11.3,10.5,1.7,12.2,29,29,104,0.28,0.05,0.32,0.23,0.28,0.52,0.08,0.6,0.49,0.56,Matches
89,Thomas Cannon,ie�IRL,FW,Everton,21-125,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Diego Carlos,br�BRA,DF,Aston Villa,31-047,1993,24,17,"1,546",17.2,0,0,0,0,0,0,4,0,0.9,0.9,0.1,1,4,55,1,0,0,0,0,0,0.05,0,0.06,0.05,0.06,Matches
91,Cesare Casadei,it�ITA,"FW,MF",Chelsea,21-112,2003,7,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,2,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
92,Casemiro,br�BRA,"MF,DF",Manchester Utd,32-068,1992,21,20,"1,622",18,1,2,3,1,0,0,5,0,3.2,3.2,0.9,4.1,10,98,35,0.06,0.11,0.17,0.06,0.17,0.18,0.05,0.23,0.18,0.23,Matches
93,Matty Cash,pl�POL,DF,Aston Villa,26-268,1997,28,23,"2,077",23.1,2,2,4,2,0,0,7,0,4.2,4.2,2.3,6.5,60,87,93,0.09,0.09,0.17,0.09,0.17,0.18,0.1,0.28,0.18,0.28,Matches
94,Timothy Castagne,be�BEL,DF,Fulham,28-148,1995,31,27,"2,453",27.3,1,3,4,1,0,0,3,0,1.5,1.5,1.9,3.4,45,75,109,0.04,0.11,0.15,0.04,0.15,0.06,0.07,0.13,0.06,0.13,Matches
95,Jonny Castro,es�ESP,MF,Wolves,30-059,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Trevoh Chalobah,eng�ENG,DF,Chelsea,24-301,1999,8,5,510,5.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,20,7,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
97,Calum Chambers,eng�ENG,"DF,MF",Aston Villa,29-102,1995,2,0,73,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Youssef Chermiti,pt�POR,FW,Everton,19-343,2004,15,1,169,1.9,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,2,5,14,0,0,0,0,0,0.3,0.32,0.62,0.3,0.62,Matches
99,Ben Chilwell,eng�ENG,DF,Chelsea,27-132,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22,25,59,0,0.12,0.12,0,0.12,0.14,0.26,0.41,0.14,0.41,Matches
100,Tawanda Chirewa,eng�ENG,"MF,FW",Wolves,20-203,2003,7,1,141,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,7,8,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12,Matches
